timestamp,country_residency,ip_country,important_score
1713727585,,United Kingdom of Great Britain and Northern Ireland,0
1713727604,,Lebanon,0
1713727776,,Luxembourg,0
1713727898,Finland,Finland,0
1713727925,,Singapore,0
1713727951,Germany,Germany,0
1713728004,,Poland,0
1713728018,,Portugal,0
1713728070,,United Kingdom of Great Britain and Northern Ireland,0
1713728127,,Czechia,0
1713728199,,United Kingdom of Great Britain and Northern Ireland,0
1713728211,,Germany,0
1713728263,,Luxembourg,0
1713728365,,Poland,0
1713728418,,Spain,0
1713728488,,Croatia,0
1713728602,United States,United States of America,10
1713728692,,United Kingdom of Great Britain and Northern Ireland,0
1713728694,,Romania,0
1713728701,,United Kingdom of Great Britain and Northern Ireland,0
1713728745,,Canada,0
1713728770,,United Kingdom of Great Britain and Northern Ireland,0
1713728811,,Puerto Rico,0
1713728921,,Thailand,0
1713728923,,Namibia,0
1713729020,,Netherlands,0
1713729050,,Switzerland,0
1713729078,,South Africa,0
1713729163,,Spain,0
1713729171,,Panama,0
1713729271,,Switzerland,0
1713729323,,Lebanon,0
1713729387,,United States of America,0
1713729403,,Romania,0
1713729414,,Spain,0
1713729508,,Poland,0
1713729576,,Netherlands,0
1713729645,Namibia,Namibia,0
1713729803,,Germany,0
1713729837,,United Kingdom of Great Britain and Northern Ireland,0
1713729878,Belgium,Belgium,0
1713729907,,Pakistan,0
1713729931,Portugal,Portugal,0
1713729993,,Germany,0
1713730005,Ireland,Ireland,#REF!
1713730008,France,France,0
1713730080,,United States of America,0
1713730112,,Belgium,0
1713730194,Poland,Poland,#REF!
1713730358,,United Kingdom of Great Britain and Northern Ireland,0
1713730609,,United States of America,0
1713730616,,Peru,0
1713730645,,United States of America,0
1713730678,Croatia,Croatia,0
1713730690,,Italy,0
1713730701,Croatia,Croatia,0
1713730746,,Belgium,0
1713730749,,Belgium,0
1713730770,,United Kingdom of Great Britain and Northern Ireland,0
1713730935,,Netherlands,0
1713730975,,Lebanon,0
